trade_date,raw_pca,residual_pca,raw_blpx,residual_blpx
2020-04-17,0.34176071186259127,0.12456653222386192,0.3115380583326988,0.22213469758084797
2020-04-20,0.3404847060887228,0.12658945576884215,0.312373656315479,0.2205521818269562
2020-04-21,0.32054737515241705,0.14191083898150192,0.32980458967160425,0.20773719619447684
2020-04-22,0.314012884046777,0.1487552317086586,0.33493887720327886,0.2022930070412855
2020-04-23,0.3125507098516325,0.1506113914348836,0.3366335707492173,0.20020432796426654
2020-04-24,0.32105899326337484,0.14229651197352494,0.3290716655407498,0.20757282922235043
2020-04-27,0.31815886762530715,0.14679887811279488,0.33237139017947126,0.2026708640824268
2020-04-28,0.32087715022323865,0.14491342620653028,0.33000629799040343,0.20420312557982762
2020-04-30,0.32133281011029113,0.14460658841327334,0.32981719426719214,0.20424340720924333
2020-05-01,0.32269545775569747,0.14120308233559561,0.3286522366744339,0.20744922323427306
2020-05-07,0.3235257174966096,0.1411366785189565,0.328062317387033,0.20727528659740085
2020-05-08,0.3205348697458844,0.1425917675605008,0.3311209017403094,0.20575246095330532
2020-05-11,0.3165808873795799,0.1471629659775906,0.3346197959733625,0.20163635066946703
2020-05-12,0.31265767170210984,0.14853494323813493,0.3377412476481865,0.20106613741156867
2020-05-13,0.30585959301970184,0.15341119759460894,0.3442870508001396,0.19644215858554961
2020-05-14,0.30935488281504403,0.15062102916609443,0.3404488190527544,0.19957526896610708
2020-05-15,0.31548825054397456,0.13839019749889622,0.33312311439926157,0.21299843755786763
2020-05-18,0.31850588117628265,0.13864331477747016,0.3312814127906839,0.2115693912555633
2020-05-19,0.3171997897687461,0.14064589760601628,0.33278014246231846,0.20937417016291926
2020-05-20,0.3233229857102057,0.13301842593606153,0.3262748676053864,0.21738372074834636
2020-05-21,0.31390449551613897,0.14172905629942628,0.33492981190757604,0.20943663627685874
2020-05-22,0.32334469989022485,0.13732126306475154,0.32711264655035044,0.2122213904946731
2020-05-25,0.3188856520920254,0.14038756266532584,0.3309030467817308,0.20982373846091792
2020-05-27,0.3122190011183519,0.14392056359595784,0.33792816666736886,0.20593226861832142
2020-05-28,0.32135141037075987,0.13556299327184176,0.3291308200225969,0.21395477633480142
2020-05-29,0.32037169242645713,0.1354182107241539,0.33011130032077846,0.21409879652861052
2020-06-01,0.3202101384165592,0.1375456798879932,0.33046332726541106,0.2117808544300365
2020-06-02,0.3213709548343097,0.1375367339508722,0.3292735154432397,0.2118187957715785
2020-06-03,0.3214842938986352,0.13588892977012443,0.3290199664354988,0.21360680989574143
2020-06-04,0.31856505490366,0.1369390673529557,0.33160497374886816,0.21289090399451624
2020-06-05,0.31910841360297965,0.1369666071001157,0.33105031065047685,0.21287466864642787
2020-06-08,0.3200646442100233,0.135875296330879,0.32990333997664034,0.21415671948245732
2020-06-09,0.3201517210637824,0.13525354270019663,0.32983823325035344,0.21475650298566756
2020-06-10,0.32321657515594504,0.1354918965889718,0.32793158808745043,0.21335994016763282
2020-06-11,0.32270709491850785,0.13605808410374864,0.32859872725092937,0.21263609372681405
2020-06-12,0.32268943263493394,0.135954916889985,0.3285878470787536,0.21276780339632742
2020-06-15,0.3134722095246852,0.14705420881459638,0.3381078016634323,0.20136577999728603
2020-06-16,0.3130775783426369,0.14790777685623732,0.33866310679693745,0.20035153800418842
2020-06-17,0.31202378361666094,0.14796254303232748,0.3391856333905428,0.20082803996046877
2020-06-18,0.3116618900957409,0.14848756914488562,0.33959399942613167,0.20025654133324178
2020-06-19,0.3160156024720661,0.1440985149741271,0.3351649292923718,0.20472095326143502
2020-06-22,0.3162763411371652,0.14369849852448885,0.334922043435664,0.20510311690268185
2020-06-23,0.31766386453284096,0.14135787090691918,0.33354053267952544,0.20743773188071452
2020-06-24,0.31633778767518483,0.14192229799522607,0.33494608824729105,0.20679382608229813
2020-06-25,0.31617722392349096,0.14180261064137445,0.33507648858671635,0.20694367684841833
2020-06-26,0.31437936253046894,0.14607429060200172,0.33740293378227965,0.20214341308524958
2020-06-29,0.31529874808844854,0.14478292797402312,0.3362120923345295,0.2037062316029988
2020-06-30,0.3161396303897535,0.14431312425915535,0.3352594477032706,0.20428779764782048
2020-07-01,0.31519244013319947,0.14659336716645413,0.33634251824324174,0.20187167445710472
2020-07-02,0.31746120125543537,0.1457171778208389,0.3343697526436115,0.2024518682801143
2020-07-03,0.3281688589230711,0.1355725201615359,0.3233838368355323,0.2128747840798605
2020-07-07,0.327776420400138,0.13578486786128743,0.3236954496619985,0.21274326207657604
2020-07-08,0.3312122899283381,0.1347585914122952,0.3210560083854627,0.2129731102739039
2020-07-09,0.3270247894440905,0.1370369317761754,0.3248150469778374,0.21112323180189657
2020-07-10,0.32584689049427773,0.13794372961983367,0.32588117193445476,0.21032820795143384
2020-07-13,0.3293515779081973,0.13746029194779666,0.32318041491037736,0.2100077152336287
2020-07-14,0.3323309843996702,0.13731472610974693,0.3206779403596975,0.20967634913088543
2020-07-15,0.33396491201058864,0.13699617725505311,0.31939057239128116,0.20964833834307714
2020-07-16,0.3348407246415625,0.1342812795754358,0.3182123466773054,0.21266564910569621
2020-07-17,0.3358796350114544,0.13269636270778037,0.31680582836426635,0.2146181739164989
2020-07-20,0.33571063871242673,0.13224809453631725,0.31681062495168927,0.2152306417995668
2020-07-21,0.3354974191981726,0.1325749660856283,0.31706049518089774,0.21486711953530138
2020-07-22,0.3257928068202942,0.14131096065916463,0.3266248570650767,0.20627137545546456
2020-07-27,0.3271904386860739,0.14032763773656393,0.32534025337415806,0.20714167020320415
2020-07-28,0.32870237761488613,0.13760207919450645,0.3236540806871681,0.2100414625034392
2020-07-29,0.3336562765576981,0.13474000287126145,0.31934688721309007,0.2122568333579504
2020-07-30,0.3351511673589348,0.1331696939403934,0.3179768255932963,0.2137023131073755
2020-07-31,0.3359667027784615,0.13224419811260327,0.3170691648083904,0.21471993430054467
2020-08-03,0.33571446871411387,0.13237564198386376,0.3173296185652802,0.2145802707367421
2020-08-04,0.332621899263195,0.13436723662230024,0.3200907449421619,0.21292011917234271
2020-08-05,0.3326637194376876,0.13316809328506143,0.31969756253323794,0.21447062474401318
2020-08-06,0.331137350387366,0.13467620530176225,0.3212274015837079,0.21295904272716376
2020-08-07,0.33127066353803614,0.1348657627643854,0.3210870427648723,0.2127765309327062
2020-08-11,0.33391810877790457,0.1326748141604241,0.3187587992637602,0.21464827779791118
2020-08-12,0.33604668460568243,0.1327335132854028,0.3177611086171088,0.21345869349180582
2020-08-13,0.33722364821261136,0.13074113427284198,0.3164228551451616,0.21561236236938516
2020-08-14,0.33540661774425595,0.13430650728252025,0.3188552138219842,0.21143166115123974
2020-08-17,0.3337601244247526,0.13669936676856814,0.32039724716886525,0.20914326163781394
2020-08-18,0.33398251393279066,0.13556272772632075,0.3198577796480859,0.21059697869280275
2020-08-19,0.32962110157689717,0.13943054439932795,0.3240663113724587,0.20688204265131613
2020-08-20,0.3275107836841751,0.14025359573932142,0.325842483669361,0.20639313690714262
2020-08-21,0.3243520823457942,0.14229057342474002,0.3285964808336835,0.20476086339578228
2020-08-24,0.32470192927589375,0.14171266758529671,0.3282041771508092,0.20538122598800035
2020-08-25,0.32577565751133514,0.1412727540726702,0.3270694131592963,0.20588217525669852
2020-08-26,0.3282460545114105,0.14013037003762538,0.3250751523768341,0.20654842307413002
2020-08-27,0.33212577635648255,0.13828477813706783,0.32178227235032913,0.20780717315612043
2020-08-28,0.32637692579135796,0.14359896916265003,0.32761357908246697,0.20241052596352513
2020-08-31,0.3209336613305376,0.14859195101341516,0.33250489314084736,0.19796949451519996
2020-09-01,0.3202006896643206,0.14944677078660645,0.33332398775142547,0.1970285517976475
2020-09-02,0.31350954888680543,0.1550761864552365,0.3395979351147473,0.1918163295432108
2020-09-03,0.3129348686164916,0.155517616375801,0.340157348596846,0.19139016641086135
2020-09-04,0.3103285409034535,0.15574816393472865,0.3421989340565644,0.19172436110525332
2020-09-07,0.31009142465744105,0.1560209560283379,0.34304375205413284,0.1908438672600883
2020-09-09,0.31591635182972966,0.1514684171921316,0.33775628400818447,0.1948589469699542
2020-09-10,0.31621769728364213,0.151511194993146,0.33753827601318037,0.19473283171003145
2020-09-11,0.31913508375439087,0.14988123904466163,0.33489767644682045,0.196086000754127
2020-09-14,0.3198091827484163,0.14901824416837756,0.33398227030269,0.1971903027805161
2020-09-15,0.32037436805766556,0.14770954187779686,0.3333286772926625,0.1985874127718751
2020-09-16,0.32403644503604184,0.14488511161169385,0.32973900909090076,0.20133943426136358
2020-09-17,0.32541929305601563,0.14207273654009675,0.3285490172952977,0.20395895310859002
2020-09-18,0.32407199243119006,0.14249562206268213,0.32981774633065847,0.20361463917546932
2020-09-23,0.32323599637440364,0.14193121157350228,0.3302826786052505,0.2045501134468436
2020-09-24,0.3278225002194493,0.13776492669939158,0.32590518033330274,0.2085073927478565
2020-09-25,0.3289274852317185,0.1374408626829541,0.3248691656073569,0.20876248647797044
2020-09-28,0.3298834291730865,0.1363020500132414,0.3238435875869772,0.2099709332266948
2020-09-29,0.3165306688406616,0.14420318022678372,0.33527338713158555,0.20399276380096926
2020-09-30,0.3216897795127875,0.14255710180796619,0.33080872649291926,0.20494439218632693
2020-10-02,0.32171937575380394,0.14261244045923838,0.330794070089219,0.20487411369773853
2020-10-05,0.3220993628427585,0.14310559765631223,0.330266610064371,0.20452842943655822
