feature,mean_within_date_std,p10_within_date_std,p50_within_date_std,p90_within_date_std,nonzero_date_ratio,use_for_model
int_sector_static_hinge_pos_us_financial_return_k1_0,0.011155219068475655,0.0,0.0,0.020806450175160966,0.12592028433612593,True
int_sector_beta_hinge_pos_us_financial_return_k1_0_beta120,1.4145882948949014e-05,0.0,0.0,1.6387044572659315e-05,0.12592028433612593,True
int_sector_beta_hinge_pos_us_financial_return_k1_0_beta252,2.3501058323866947e-05,0.0,0.0,3.1296726723171454e-05,0.1266804550155119,True
int_sector_static_hinge_pos_us_industrial_return_k1_0,0.015982626650564026,0.0,0.0,0.03435842239775977,0.132013201320132,True
int_sector_beta_hinge_pos_us_industrial_return_k1_0_beta120,1.2651504047373524e-05,0.0,0.0,1.7681409357585006e-05,0.132013201320132,True
int_sector_beta_hinge_pos_us_industrial_return_k1_0_beta252,2.0772618581399777e-05,0.0,0.0,3.337667931251965e-05,0.1328852119958635,True
int_sector_static_hinge_pos_us_healthcare_return_k1_0,0.00662216587262398,0.0,0.0,0.014628068773248988,0.13328255902513328,True
int_sector_beta_hinge_pos_us_healthcare_return_k1_0_beta120,9.939551436793029e-06,0.0,0.0,1.7017189515009635e-05,0.13328255902513328,True
int_sector_beta_hinge_pos_us_healthcare_return_k1_0_beta252,1.6315749987930936e-05,0.0,0.0,2.9613188494423018e-05,0.1331437435367115,True
int_sector_static_hinge_pos_us_smallcap_return_k1_0,0.011344788256681507,0.0,0.0,0.023953576546065426,0.1282051282051282,True
int_sector_beta_hinge_pos_us_smallcap_return_k1_0_beta120,1.3445585719709209e-05,0.0,0.0,1.9016065060389512e-05,0.12795125666412796,True
int_sector_beta_hinge_pos_us_smallcap_return_k1_0_beta252,2.1563035749831433e-05,0.0,0.0,3.641550959890017e-05,0.12874870734229577,True
int_sector_static_hinge_neg_us_tech_return_k1_0,0.016594651254284557,0.0,0.0,0.034774854360027224,0.1337903021071338,True
int_sector_beta_hinge_neg_us_tech_return_k1_0_beta120,1.562153622721356e-05,0.0,0.0,3.005667029090648e-05,0.1337903021071338,True
int_sector_beta_hinge_neg_us_tech_return_k1_0_beta252,2.7916819200770395e-05,0.0,0.0,5.480040127996526e-05,0.1331437435367115,True
int_sector_static_hinge_neg_us_semiconductor_return_k1_0,0.012207276635436389,0.0,0.0,0.026509350981990656,0.13455191673013456,True
int_sector_beta_hinge_neg_us_semiconductor_return_k1_0_beta120,2.2503453720689866e-05,0.0,0.0,4.075134968637875e-05,0.13455191673013456,True
int_sector_beta_hinge_neg_us_semiconductor_return_k1_0_beta252,3.99524285639141e-05,0.0,0.0,7.031496467957407e-05,0.13340227507755947,True
int_sector_static_hinge_neg_us_energy_return_k1_0,0.007488237712083425,0.0,0.0,0.014338365383372586,0.13607514597613607,True
int_sector_beta_hinge_neg_us_energy_return_k1_0_beta120,2.1557861039670435e-05,0.0,0.0,3.086954960922869e-05,0.13607514597613607,True
int_sector_beta_hinge_neg_us_energy_return_k1_0_beta252,3.7316832590355295e-05,0.0,0.0,6.49599642431565e-05,0.13521199586349536,True
int_sector_static_hinge_neg_us_financial_return_k1_0,0.015291212098398954,0.0,0.0,0.02735040357695624,0.1261741558771262,True
int_sector_beta_hinge_neg_us_financial_return_k1_0_beta120,1.6759378586131123e-05,0.0,0.0,2.341780539558333e-05,0.1261741558771262,True
int_sector_beta_hinge_neg_us_financial_return_k1_0_beta252,2.815468930352764e-05,0.0,0.0,3.777465671122162e-05,0.125129265770424,True
int_sector_static_hinge_neg_us_industrial_return_k1_0,0.021875989692206558,0.0,0.0,0.043249122923355914,0.13328255902513328,True
int_sector_beta_hinge_neg_us_industrial_return_k1_0_beta120,1.4927150932833563e-05,0.0,0.0,1.990046563438865e-05,0.13328255902513328,True
int_sector_beta_hinge_neg_us_industrial_return_k1_0_beta252,2.534560457744234e-05,0.0,0.0,4.093847882910295e-05,0.13236814891416754,True
int_sector_static_hinge_neg_us_healthcare_return_k1_0,0.008778262834714954,0.0,0.0,0.018218799179533934,0.1365828890581366,True
int_sector_beta_hinge_neg_us_healthcare_return_k1_0_beta120,1.1950774884109437e-05,0.0,0.0,1.8586605344936403e-05,0.13632901751713633,True
int_sector_beta_hinge_neg_us_healthcare_return_k1_0_beta252,1.952119274509878e-05,0.0,0.0,3.6803646508020045e-05,0.13521199586349536,True
int_sector_static_hinge_neg_us_smallcap_return_k1_0,0.015739573147916734,0.0,0.0,0.03977946717998838,0.14166031987814165,True
int_sector_beta_hinge_neg_us_smallcap_return_k1_0_beta120,1.6128579536328834e-05,0.0,0.0,3.183440606742996e-05,0.14166031987814165,True
int_sector_beta_hinge_neg_us_smallcap_return_k1_0_beta252,2.7436557434214883e-05,0.0,0.0,6.019099823648858e-05,0.140641158221303,True
int_sector_static_hinge_pos_us_tech_return_k1_5,0.005056399365384712,0.0,0.0,0.0,0.05356689515105357,False
int_sector_beta_hinge_pos_us_tech_return_k1_5_beta120,6.286024857707239e-06,0.0,0.0,0.0,0.05356689515105357,False
int_sector_beta_hinge_pos_us_tech_return_k1_5_beta252,1.0294010059345762e-05,0.0,0.0,0.0,0.054033092037228544,False
int_sector_static_hinge_pos_us_semiconductor_return_k1_5,0.00396121941947472,0.0,0.0,0.0,0.05991368367605991,False
int_sector_beta_hinge_pos_us_semiconductor_return_k1_5_beta120,9.365138141047293e-06,0.0,0.0,0.0,0.05991368367605991,False
int_sector_beta_hinge_pos_us_semiconductor_return_k1_5_beta252,1.5051963094390893e-05,0.0,0.0,0.0,0.05997931747673216,False
int_sector_static_hinge_pos_us_energy_return_k1_5,0.002369475544964853,0.0,0.0,0.0,0.0588981975120589,False
int_sector_beta_hinge_pos_us_energy_return_k1_5_beta120,7.935388898933894e-06,0.0,0.0,0.0,0.0588981975120589,False
int_sector_beta_hinge_pos_us_energy_return_k1_5_beta252,1.4236416347606228e-05,0.0,0.0,0.0,0.05972078593588418,False
int_sector_static_hinge_pos_us_financial_return_k1_5,0.0050454208728978505,0.0,0.0,0.0,0.053313023610053314,False
int_sector_beta_hinge_pos_us_financial_return_k1_5_beta120,7.08710438826273e-06,0.0,0.0,0.0,0.053313023610053314,False
int_sector_beta_hinge_pos_us_financial_return_k1_5_beta252,1.124673775436745e-05,0.0,0.0,0.0,0.054033092037228544,False
int_sector_static_hinge_pos_us_industrial_return_k1_5,0.006970808388275093,0.0,0.0,0.0,0.060675298299060675,False
int_sector_beta_hinge_pos_us_industrial_return_k1_5_beta120,6.058538414194041e-06,0.0,0.0,0.0,0.060675298299060675,False
int_sector_beta_hinge_pos_us_industrial_return_k1_5_beta252,9.461421439770715e-06,0.0,0.0,0.0,0.06127197518097208,False
int_sector_static_hinge_pos_us_healthcare_return_k1_5,0.002969176612979806,0.0,0.0,0.0,0.05915206905305915,False
int_sector_beta_hinge_pos_us_healthcare_return_k1_5_beta120,4.732181217543663e-06,0.0,0.0,0.0,0.05915206905305915,False
int_sector_beta_hinge_pos_us_healthcare_return_k1_5_beta252,7.681792518056165e-06,0.0,0.0,0.0,0.058686659772492246,False
int_sector_static_hinge_pos_us_smallcap_return_k1_5,0.00488855878909454,0.0,0.0,0.0,0.05534399593805534,False
int_sector_beta_hinge_pos_us_smallcap_return_k1_5_beta120,6.049948326054766e-06,0.0,0.0,0.0,0.05534399593805534,False
int_sector_beta_hinge_pos_us_smallcap_return_k1_5_beta252,9.44711256052301e-06,0.0,0.0,0.0,0.055842812823164424,False
int_sector_static_hinge_neg_us_tech_return_k1_5,0.009430543473597662,0.0,0.0,0.0,0.07463823305407463,False
int_sector_beta_hinge_neg_us_tech_return_k1_5_beta120,8.513554667471947e-06,0.0,0.0,0.0,0.07463823305407463,False
int_sector_beta_hinge_neg_us_tech_return_k1_5_beta252,1.509747039944442e-05,0.0,0.0,0.0,0.07394002068252327,False
int_sector_static_hinge_neg_us_semiconductor_return_k1_5,0.006573479499449077,0.0,0.0,0.0,0.07336887534907337,False
int_sector_beta_hinge_neg_us_semiconductor_return_k1_5_beta120,1.1938631729476585e-05,0.0,0.0,0.0,0.07336887534907337,False
int_sector_beta_hinge_neg_us_semiconductor_return_k1_5_beta252,2.148776037638301e-05,0.0,0.0,0.0,0.07213029989658738,False
int_sector_static_hinge_neg_us_energy_return_k1_5,0.004135214039257519,0.0,0.0,0.0,0.07235338918507235,False
int_sector_beta_hinge_neg_us_energy_return_k1_5_beta120,1.2215934816752267e-05,0.0,0.0,0.0,0.07235338918507235,False
int_sector_beta_hinge_neg_us_energy_return_k1_5_beta252,2.04065186746948e-05,0.0,0.0,0.0,0.07161323681489142,False
int_sector_static_hinge_neg_us_financial_return_k1_5,0.008654941189778078,0.0,0.0,0.0,0.06702208682406702,False
int_sector_beta_hinge_neg_us_financial_return_k1_5_beta120,9.577105068912614e-06,0.0,0.0,0.0,0.06702208682406702,False
int_sector_beta_hinge_neg_us_financial_return_k1_5_beta252,1.568947770413481e-05,0.0,0.0,0.0,0.0672182006204757,False
int_sector_static_hinge_neg_us_industrial_return_k1_5,0.012201652327232975,0.0,0.0,0.0,0.06956080223406956,False
int_sector_beta_hinge_neg_us_industrial_return_k1_5_beta120,8.555245193736575e-06,0.0,0.0,0.0,0.06956080223406956,False
int_sector_beta_hinge_neg_us_industrial_return_k1_5_beta252,1.3943169867265038e-05,0.0,0.0,0.0,0.06980351602895553,False
int_sector_static_hinge_neg_us_healthcare_return_k1_5,0.004855456699162481,0.0,0.0,0.0,0.0720995176440721,False
int_sector_beta_hinge_neg_us_healthcare_return_k1_5_beta120,6.706748904445439e-06,0.0,0.0,0.0,0.0720995176440721,False
int_sector_beta_hinge_neg_us_healthcare_return_k1_5_beta252,1.0666244783838177e-05,0.0,0.0,0.0,0.07161323681489142,False
int_sector_static_hinge_neg_us_smallcap_return_k1_5,0.00817224829244212,0.0,0.0,0.0,0.07057628839807058,False
int_sector_beta_hinge_neg_us_smallcap_return_k1_5_beta120,8.581033829395065e-06,0.0,0.0,0.0,0.07057628839807058,False
