oos_rank,is_sharpe_best,oos_sharpe_best
19,10.687620291965532,6.292073843362614
2,10.201475150857686,6.611155140789798
23,10.152892025311797,6.800782433241177
6,10.296457564327532,6.749503488877627
7,10.340167284560033,6.734546976261987
23,9.873278466056846,6.858692767870793
4,10.425319438038631,6.521540965750058
6,9.870349116787073,7.065316716552227
5,9.9114848404648,7.063778970931056
5,9.45668029373704,7.339198634850922
4,10.013369301086207,6.847091040883591
5,10.06099041669626,6.900456879722077
7,9.621632830532558,7.161959107771093
23,10.197922358473056,6.591912219920929
7,9.681085470872558,7.147514447617662
6,10.252030957306891,6.6503336068891645
3,9.801139080744647,7.000981731961299
5,10.25662079450074,6.840895587583292
7,10.312060163183382,6.814467171384812
23,9.826146066961723,6.93875236369357
2,10.378047816964711,6.634258154565141
7,10.457844197513207,6.650107383752862
5,9.954032394492085,6.906840178109903
5,10.535033358544396,6.428486632123961
16,10.028751961368812,6.864942703687225
19,10.633498057022898,6.391870170142775
2,10.132972280764422,6.700646360919436
6,10.024164646247105,6.976870092896713
6,9.559630117772482,7.2428399397895475
5,10.119844873614175,6.752512123528401
10,9.63046753865345,7.2153627522427275
15,10.209947957446934,6.726777156724003
2,9.746021270885334,7.065182887797001
11,9.783930885450074,7.052894434271654
12,10.361583972715742,6.560486546440011
2,9.901049276923027,6.902015879704067
19,9.992360489752741,6.814475451745829
15,10.615722770088173,6.349383432939924
6,10.193572115948722,6.685433512326261
13,10.355547434551028,6.501211890205152
13,10.386479025252058,6.496424637951504
8,9.963483271384037,6.789315705423328
24,10.583456856783092,6.158941438609136
18,10.59692848289189,6.425032021266966
19,10.745608449402212,6.242187848059355
18,10.764034028441726,6.2351318760401355
18,10.318146536358515,6.483020100657862
23,10.890143944348617,5.950187944389229
15,10.305525966608622,6.576298292253031
16,10.342803621475776,6.573450291561891
15,9.911785444947274,6.841772404598163
23,10.49826769532163,6.267349107445218
13,10.495452108725361,6.405570131271373
17,10.07229814765333,6.665287989894735
24,10.704653737094526,6.052916337016564
16,10.131282679416897,6.664207383223307
19,10.695254419871475,6.147714466241865
24,10.29074932667235,6.37128880272894
7,10.148389631927108,6.77187573186245
16,10.30830895603532,6.588603837401632
8,10.325050748907781,6.591479527002816
24,9.91373815849247,6.728403872340512
21,10.460969861022846,6.298916017800453
15,9.90500892886466,6.920000420475023
3,9.920105372030939,6.938915735147866
5,9.53061605549183,7.22390443654047
22,10.086209762808751,6.627061954791239
1,10.073502251013455,6.774207107794617
13,9.6988200554039,7.047791395573792
24,10.290721187704671,6.414589255733452
2,9.738114375288623,7.063521800072153
5,10.279797224376797,6.528674168475565
23,9.907129056352607,6.7675423537373085
8,10.256869998807593,6.678755552746508
10,10.284156263749292,6.668926110022151
24,9.858493073174314,6.805390409452362
6,10.401544977942894,6.453406107466134
6,10.435524962600438,6.502203066168066
19,10.008989296988712,6.746380899429934
23,10.582424627702178,6.194000081245102
13,10.060026037373277,6.750534024748047
19,10.630894800331681,6.244982239689922
1,10.18209355709098,6.600890533600042
1,10.026172491297768,6.8468740891466515
12,9.630632734719761,7.1236130635889365
23,10.203426540235323,6.519449609635679
4,9.680511826681947,7.123875611755097
12,10.22881501274287,6.600500781232593
21,9.814717355105211,6.863489275328093
2,9.836067800624297,6.961805213709389
24,10.389179725840014,6.327390667371074
24,10.01737696085963,6.650346980692771
15,10.05476734579783,6.73529337304424
7,10.161390909672416,6.846881113660508
6,10.316577915746956,6.671066205468039
9,10.37646649315421,6.656464918637393
23,9.89394053557806,6.802804073551493
23,10.472407245391897,6.367016689881944
9,9.899110098983085,6.9921036197211945
6,9.953551179666624,6.989677784781511
4,9.500466712370107,7.275587480317533
23,10.08529480974353,6.683034175656447
4,10.104254756931038,6.825642651541401
9,9.666753658039942,7.098398429176302
23,10.289857890441997,6.47318424431063
13,9.735377291656372,7.080790423938882
13,10.299487072377685,6.5754400995518925
22,9.883554331563875,6.796693444750409
13,10.29162222469907,6.74176738926477
13,10.344868336116527,6.736262701575086
14,9.853294368323036,6.981631763965703
2,10.418436847677627,6.5564534128800664
12,10.492380680707349,6.570977910325504
16,10.008916786953385,6.805115972351587
23,10.597393323976844,6.26552185328518
17,10.076851390194927,6.792015604437087
20,10.673557983157526,6.311894809494261
2,10.185715498645807,6.629674374015082
3,10.064613395256194,6.901664688737768
13,9.60348578876683,7.1607495233091605
23,10.205770622068524,6.579025070748749
14,9.682965880449988,7.147483615078134
15,10.255051922504922,6.651387641564951
1,9.802456965083097,7.000334972979285
14,9.83708637504092,6.98462350075432
15,10.407733379684352,6.48421588732507
23,9.996366918817605,6.68429510004999
19,10.048261690658135,6.747535661368278
6,9.855437348117814,7.0764681209131295
4,9.89767601297597,7.082506351779205
24,9.47783594828544,7.195075792874223
4,9.998995634178721,6.858614261632562
3,10.04697151044044,6.919344195740642
7,9.60811122909888,7.174130876445113
23,10.168500719891224,6.610220537415925
7,9.665418156241014,7.165364618553014
6,10.237328354469303,6.669379089762998
2,9.784928838752515,7.018459969827548
1,9.635842216332762,7.2589792999410605
7,9.234846721186896,7.5279161012394535
23,9.793959960913925,6.9345355517779685
4,9.285503802133517,7.531417316173789
4,9.83485952265335,7.0181184029517425
1,9.414969282921303,7.400524921488943
4,9.44035838776946,7.371894770486033
4,9.988322749360886,6.85408127154027
23,9.613954222982255,7.073621872586821
7,9.657310722326605,7.148267930143561
4,10.01059681241742,6.995755361533849
5,9.545907412765693,7.254802279839172
6,10.10535203419992,6.763968815150136
7,9.61507426612276,7.233322761397044
9,10.195617649131107,6.745826272356083
2,9.73002986721738,7.082840228496192
6,9.768423153579956,7.0709721455366115
7,10.347065302501758,6.579735602409362
1,9.884966832141938,6.919778889608256
17,9.976418745115021,6.832512633232853
6,9.384717835060844,7.433828495724181
4,9.940253236166045,6.92567485040434
23,9.521907900425314,7.16832233648894
13,9.599110261650454,7.207316143950831
17,9.754672128541122,7.046088686384703
13,10.250375347005024,6.674630186349913
4,9.834802084298488,7.021668598245305
14,10.202071435602694,6.762549310586305
3,9.780437609648308,7.107321110516141
7,9.940831375626189,6.927284209630368
13,9.966901014486991,6.908581992623856
17,9.558107637180985,7.1808737016318815
23,10.141008234797546,6.61474168318161
22,9.872231872253638,6.966740937904646
10,10.249463354461607,6.841392890993497
23,9.806292113213763,7.028377904617326
24,9.965129335726816,6.848089903753881
17,10.005853540949511,6.962746323812444
23,9.565229406219524,7.1331191387170865
21,10.150068989330475,6.677181068034094
6,9.796035245203399,7.180366794230008
5,9.381378103032553,7.501879487692369
6,9.541109558002505,7.324908551426027
6,9.576971829472962,7.319593038354118
23,9.167010246122683,7.497224591562806
21,9.731049437965886,7.02558238398453
17,9.762769515006354,7.209693118365875
5,9.905660188532115,7.089101182390034
14,9.952171286981581,7.0564373301864505
