trade_date,rolling_250d_sortino,expanding_sortino
2018-10-25,19.238857785078302,54.50161032756685
2018-10-26,19.407084188183525,54.54768767481004
2018-10-29,19.374994278840973,54.5604948783887
2018-10-30,19.296637579551547,54.55822250173043
2018-10-31,18.986599207267055,54.19459755807571
2018-11-01,18.75279319750713,53.91533832873628
2018-11-02,18.46100979581954,53.86532883116929
2018-11-05,18.308020410642676,53.84795744424891
2018-11-06,18.154823273884375,53.816979063883124
2018-11-07,17.203424839460556,53.07424579223488
2018-11-08,16.917341537770728,52.79458849874689
2018-11-09,16.852115925658577,52.78239181104681
2018-11-12,16.84967274714082,52.73875621719168
2018-11-13,16.552625553603498,52.71789612371268
2018-11-14,16.46602978735193,52.69274257729021
2018-11-15,16.177718187813785,52.61522838103802
2018-11-16,15.90766542147702,52.61508110946137
2018-11-19,16.065906742568437,52.64489555920084
2018-11-20,15.83748657043761,52.69261691485972
2018-11-21,15.883453043669544,52.683077207852804
2018-11-22,14.732526699724719,52.49606876588113
2018-11-26,14.84749554547668,52.494015280254764
2018-11-27,14.769283588455878,52.42895540027003
2018-11-28,14.682864396008728,52.40934863979762
2018-11-29,14.735889983240117,52.44408558795961
2018-11-30,14.66433963980675,52.464979963501854
2018-12-03,14.94136143937172,52.49095137365626
2018-12-04,15.391802020032266,52.69823612177921
2018-12-05,15.461829477282844,52.74080356976515
2018-12-07,15.480823108696931,52.72886213106548
2018-12-10,15.366152428282879,52.7121189888112
2018-12-11,15.320011205170534,52.76226845266738
2018-12-12,15.251278707902392,52.63914331080047
2018-12-13,15.308806008071386,52.667286128553975
2018-12-14,15.456253101461844,52.71021547496522
2018-12-17,15.245457049703226,52.334140285661675
2018-12-18,15.232571770303357,52.3150062293824
2018-12-19,15.060172761825429,52.2465304557042
2018-12-20,15.145555381750007,52.2633330618848
2018-12-21,14.930148427906088,52.159374048402384
2018-12-24,14.913100226198981,52.13231341153644
2018-12-25,15.04476538436514,52.32689140108855
2018-12-27,14.806862286207506,52.00611837691031
2018-12-28,14.827084698577142,52.00913988631216
2018-12-31,14.827084698577142,51.982268719503566
2019-01-04,14.84841546478984,51.96390143515271
2019-01-07,14.798780638228788,51.96102891953952
2019-01-08,14.966966469124735,51.98166475172583
2019-01-09,15.031855610521864,51.98060253145508
2019-01-10,14.918254896477002,51.92533293572161
2019-01-11,15.023764997319555,51.955414832423926
2019-01-15,14.923340306455266,51.87905858813162
