trade_date,beta_exposure,gross_exposure,net_exposure,strategy_return
2014-08-29,-0.1790478767092358,1.9999999999999998,0.0,0.002647497593505118
2014-09-01,0.09803234263371718,2.0,2.7755575615628914e-17,0.001891007031393019
2014-09-03,0.36667827559554195,2.0,0.0,-0.0031643309654532784
2014-09-04,-0.2746472285754693,2.0,-1.3877787807814457e-17,0.00597434225370509
2014-09-05,-0.2817396197816308,2.0,0.0,0.008076364225326092
2014-09-08,0.04846596588882142,2.0,-5.551115123125783e-17,0.002302172859547969
2014-09-09,-0.584066654411167,2.0,-2.7755575615628914e-17,0.00469404936971945
2014-09-10,0.38197324966074025,2.0,5.551115123125783e-17,0.0004090288752761932
2014-09-11,-0.16036781212571397,2.0,0.0,0.000969420450624581
2014-09-12,-0.142708254351883,2.0,-2.7755575615628914e-17,-0.0001764048933533956
2014-09-16,-0.06411440936600407,2.0,0.0,0.007216344034392747
2014-09-17,-0.00296376653596106,2.0,-2.7755575615628914e-17,0.006546500605486004
2014-09-18,0.011734619564649607,1.9999999999999998,-2.7755575615628914e-17,0.009132412302372722
2014-09-19,-0.10430264542682849,2.0,0.0,-0.0028403805368297954
2014-09-22,-0.24776617721525232,2.0,0.0,0.00650302021637231
2014-09-24,-0.0465707212895749,2.0,-1.1102230246251565e-16,0.008394630120920085
2014-09-25,0.1318821778927421,2.0,1.1102230246251565e-16,0.003397094720175522
2014-09-26,0.09064882070886168,2.0,6.938893903907228e-17,0.023603519188129647
2014-09-29,-0.3728064644797286,2.0,-5.551115123125783e-17,-0.0024171105869769598
2014-09-30,0.16559687886095092,2.0,-5.551115123125783e-17,0.006112525821272469
2014-10-01,-0.2539037902989897,2.0,8.326672684688674e-17,0.002482775582919419
2014-10-02,0.11297915688281482,2.0,0.0,0.0026520411746990494
2014-10-03,-0.34060259866015585,2.0,0.0,0.005392503622695746
2014-10-06,-0.18699339809422746,2.0,0.0,0.00957621260794886
2014-10-07,-0.1355890424917883,2.0,0.0,-0.0004849409615101245
2014-10-08,0.07686840068068881,2.0,-5.551115123125783e-17,0.009296308284466114
2014-10-09,-0.5258988441891839,2.0,0.0,0.011418995445533731
2014-10-10,0.35266645134214936,2.0,-4.163336342344337e-17,0.01671060593288837
2014-10-14,0.37718738852059325,2.0,-5.551115123125783e-17,0.01683969143839118
2014-10-15,0.3751418152182969,2.0,0.0,0.006411038389450544
2014-10-16,-0.09587618282012349,2.0,0.0,-0.004003761254904454
2014-10-17,0.039289292563248146,2.0,5.551115123125783e-17,0.0035254019876874284
2014-10-20,-0.226674429852951,2.0,0.0,0.02012448933574473
2014-10-21,-0.2861803470125398,2.0,0.0,0.01939871154019123
