trade_date,long_pnl,short_pnl,long_gross,short_gross
2023-03-13,-0.0066877524267466675,0.0015518654925627496,0.9999999999999998,0.9999999999999999
2023-03-14,-0.022025405075563234,0.009963308759050628,0.9999999999999998,0.9999999999999998
2023-03-15,-0.005190315210756716,0.007416915534403593,0.9999999999999994,0.9999999999999996
2023-03-16,0.012396828237372632,-0.0007321204626399092,0.9999999999999998,0.9999999999999998
2023-03-17,0.0020676340967676404,-0.005994915068964162,1.0,1.0
2023-03-20,-0.002903072188264709,0.011817610727338463,0.9999999999999998,0.9999999999999998
2023-03-22,0.013003518180257955,0.00416367540755494,1.0,1.0
2023-03-23,0.013043511651079953,-0.0006560684041046322,0.9999999999999996,0.9999999999999996
2023-03-24,0.008407109863505704,-0.0023858318883547315,0.9999999999999997,0.9999999999999998
2023-03-27,0.00042208834720302885,0.005381807707253281,1.0,1.0
2023-03-28,-0.0007375602472494088,0.0008122604651604915,0.9999999999999998,0.9999999999999999
2023-03-29,0.01290287652744488,-0.00639727286875612,1.0,1.0
2023-03-30,-0.0016784905158931317,-0.0016936169764336204,1.0,0.9999999999999999
2023-03-31,0.00436895378124873,0.0012849853602878766,0.9999999999999999,0.9999999999999998
2023-04-03,0.006127511965094797,-0.012751802600276746,0.9999999999999997,0.9999999999999997
2023-04-04,0.0014391175172602851,-0.0007157302653669271,1.0,1.0
2023-04-05,-0.007434020771440619,0.010900632294829252,1.0,1.0
2023-04-06,-0.002044078253199247,0.003200220304568264,0.9999999999999997,0.9999999999999997
2023-04-07,-0.00020585830502807363,0.0005778250815698677,1.0,1.0
2023-04-11,0.0008453501836424909,-0.0018421965720869591,0.9999999999999998,0.9999999999999998
2023-04-12,0.008483997216355083,-0.0014164103429430497,0.9999999999999998,0.9999999999999998
2023-04-13,4.1131690689069004e-05,-0.0017171839134017765,0.9999999999999998,0.9999999999999998
2023-04-14,0.01133229035496915,-0.0014949911698778854,1.0,1.0
2023-04-17,-0.0015170796282536101,-0.0017414796540694353,0.9999999999999998,0.9999999999999999
2023-04-18,0.000632308813476807,-0.002416701779671221,0.9999999999999998,0.9999999999999998
2023-04-19,0.005653004472444928,0.005712187453299043,0.9999999999999998,0.9999999999999998
2023-04-20,0.0064817402462638935,-0.004091004392386677,0.9999999999999998,0.9999999999999998
2023-04-21,0.00525939845782189,0.0026745089799383743,1.0,0.9999999999999999
2023-04-24,-0.000936268473435038,0.004343727344236182,0.9999999999999996,0.9999999999999996
2023-04-25,-0.0003255639554933747,0.003983254613009864,1.0,1.0
2023-04-26,0.003884451859903157,0.00458591610544846,1.0,1.0
2023-04-27,0.003959789506694536,-0.006581655469584562,0.9999999999999998,0.9999999999999998
2023-04-28,0.012502571988005595,-0.00783066685045947,1.0,1.0
2023-05-01,0.004360357268508401,-0.002941830315096513,0.9999999999999998,0.9999999999999998
2023-05-02,-0.005028957009696999,0.007287461977517681,1.0,1.0
2023-05-08,0.0007891126035774616,0.007111663832804272,0.9999999999999998,0.9999999999999999
2023-05-09,0.012698609315802623,-0.011921879820743629,0.9999999999999998,0.9999999999999998
2023-05-10,-0.011903515398117138,0.007966989077558871,0.9999999999999999,0.9999999999999998
2023-05-11,-0.0026345107530665983,-0.0026820430045648973,0.9999999999999998,0.9999999999999997
2023-05-12,0.012187626803561221,-0.005696791253689492,0.9999999999999998,0.9999999999999998
2023-05-15,0.002423651691851887,0.0015397841431903786,1.0,0.9999999999999999
2023-05-16,-0.0016009498513906398,-0.00029723245170629284,1.0,1.0
2023-05-17,-0.00017574623100784584,0.008129624755709941,0.9999999999999998,0.9999999999999998
